"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TIMP2",1.960889142414e-112,1.50783634448452,0.284,0.11,5.31636264291285e-108
"HNRNPA2B1",1.968126286686e-112,-0.671491824233734,0.85,0.89,5.33598398846309e-108
"AFDN",2.69329280414315e-112,-2.37595356372023,0.024,0.123,7.30205545059291e-108
"USP53",8.25333985919444e-112,-2.12029077536066,0.041,0.155,2.2376455026248e-107
"MYO6",1.35091801735031e-111,-1.83310968142698,0.053,0.176,3.66260892864015e-107
"PSMB3",1.90014370343543e-111,1.57118166598494,0.378,0.191,5.15166960875413e-107
"GNB4",2.09573171928534e-111,2.2375240060487,0.178,0.037,5.68194783732642e-107
"NUMA1",4.65067956310294e-111,-1.73604755334422,0.056,0.182,1.26089224314847e-106
"MGST3",4.66270409332657e-111,1.00569810204508,0.446,0.25,1.2641523337827e-106
"ATF5",5.30189180929047e-111,2.41382855041086,0.197,0.052,1.43744890733483e-106
"TENT5C",6.18602021962568e-111,-1.90433802942978,0.038,0.149,1.67715380194491e-106
"LDLR",6.50451211075589e-111,-2.88904120866082,0.017,0.107,1.76350332346814e-106
"ING1",1.29414420287255e-110,-2.23766734902968,0.032,0.138,3.50868376282804e-106
"EPB41L3",1.32234617091745e-110,2.39210086987754,0.167,0.032,3.5851449385914e-106
"DDR1",8.32564888933679e-110,-1.79426619503193,0.048,0.167,2.25724992687699e-105
"RAI2",2.08649751003902e-109,-2.54756832780635,0.02,0.112,5.6569120492178e-105
"COX6B1",3.91713958579632e-109,0.765839814294744,0.572,0.364,1.0620148845011e-104
"APLP2",4.71700496123004e-109,0.938483791021265,0.542,0.367,1.27887438508869e-104
"RERE",5.17280500330312e-109,-1.78441840907558,0.062,0.189,1.40245089249554e-104
"MEF2C",9.98395360341757e-109,1.68873419207029,0.224,0.069,2.70684950095857e-104
"LILRB3",1.65308075931232e-108,4.78646154965404,0.108,0.002,4.48183255464757e-104
"DUSP4",2.77010393707128e-108,-1.93693223401067,0.048,0.166,7.51030579418765e-104
"CRY1",7.03970130528278e-108,-2.79135321634822,0.018,0.106,1.90860381788827e-103
"BCL3",8.80135540416742e-108,-1.82316484646114,0.075,0.207,2.38622347717787e-103
"NPY1R",1.00039617535077e-107,-4.67133658202045,0.022,0.114,2.712274110611e-103
"EGR2",3.94870734228105e-107,-1.67392669114066,0.085,0.222,1.07057353463924e-102
"AREG",4.47546011695644e-107,-1.80967677320647,0.057,0.18,1.21338674690923e-102
"EEF1D",6.3974210952921e-107,-0.693644665721118,0.407,0.598,1.73446880735559e-102
"CXCL12",9.364698113312e-107,-2.2093317614886,0.067,0.191,2.53895695248115e-102
"COPE",1.4527615411096e-106,1.20880611473732,0.332,0.152,3.93872709025634e-102
"CCNI",2.10537134304447e-106,-0.819188274737229,0.305,0.493,5.70808278526217e-102
"TM6SF1",2.24427785062237e-106,4.69779239877561,0.109,0.003,6.08468610860738e-102
"IRF2BPL",2.27779371752921e-106,-2.32398494203279,0.025,0.121,6.17555432696518e-102
"AP1B1",2.90256856866477e-106,2.16814045198646,0.184,0.045,7.86944390336394e-102
"LAMTOR1",3.47988041061583e-106,0.984493835169478,0.402,0.21,9.43465176926165e-102
"SEC61B",4.08838294278357e-106,1.11390659603019,0.392,0.206,1.10844238344748e-101
"CCL4",8.88353076726819e-106,2.3642258353173,0.284,0.127,2.40850286162175e-101
"NOLC1",9.07129987749869e-106,-1.64756421257332,0.077,0.21,2.45941082278744e-101
"PLK3",9.66476929907901e-106,-1.88921459908719,0.051,0.168,2.6203122523663e-101
"H2AC6",1.01141462930937e-105,-1.54639798098582,0.096,0.238,2.74214734298356e-101
"TLR1",1.21177314319331e-105,2.97491078247981,0.13,0.014,3.28535934582571e-101
"IL6ST",2.05995232475261e-105,-1.12688621135712,0.194,0.37,5.58494274286927e-101
"NEBL",2.18588190986291e-105,-2.7792330921229,0.018,0.105,5.92636303402031e-101
"TFAP2A",3.58450482438249e-105,-1.71692632727494,0.054,0.174,9.71830947986579e-101
"VAMP5",4.71561902128002e-105,2.01727360853781,0.209,0.063,1.27849862904944e-100
"SELPLG",6.76806879194275e-105,3.19895527233701,0.132,0.016,1.83495881087152e-100
